01	40	36	08	64	40
46	17	12	91	48	92
60	64	76	48	04	42
64	57	60	83	62	00
26	90	25	11	72	00
43	04	67	12	29	68
24	06	69	97	85	32
94	11	34	63	44	06
57	88	40	31	61	32
45	85	41	96	99	08
82	41	12	98	87	42
68	90	79	82	19	71
14	72	43	22	58	94
26	62	05	73	**	**
86	76	74	**	91	95
65	88	76	00	94	21
10	80	52	41	17	44
60	49	61	87	24	22
**	27	02	13	29	13
11	04	36	32	78	02
79	57	49	50	19	26
36	29	85	37	92	39
81	32	21	69	39	57
88	23	05	22	26	84
39	37	71	63	61	14
20	95	39	91	**	**
-1	-1	-1	-1	-1	-1
72	12	63	21	37	24
65	51	93	38	19	59
47	67	20	09	61	38
78	54	51	17	60	75
06	44	75	88	51	38
03	06	84	98	19	95
70	89	38	19	13	47
53	22	08	64	85	47
31	21	48	58	09	82
18	**	46	49	76	27
30	49	42	02	90	36
07	28	83	20	32	70
89	29	96	34	14	61
26	43	10	41	29	13
46	98	39	93	51	97
47	89	16	90	53	93
69	25	39	82	27	60
16	19	76	68	26	14
**	39	31	86	11	84
**	53	30	43	88	52
16	59	95	29	07	29
43	02	80	23	88	65
92	00	46	47	14	75
97	41	26	03	98	19
56	97	40	19	73	87
59	85	06	48	90	14
61	02	10	18	83	28
70	72	38	37	17	63
34	26	43	81	40	43
30	99	75	29	88	11
24	98	72	50	58	25
01	01	76	38	37	98
25	91	03	98	03	69
71	01	82	89	15	57
04	86	43	44	16	71
98	46	15	62	60	60
71	11	05	70	64	33
61	**	28	60	81	75
64	50	78	51	05	14
12	91	92	84	**	16
80	20	01	41	08	59
82	21	77	58	00	**
75	67	18	22	89	07
57	76	05	23	32	41
72	25	93	06	28	44
68	83	00	83	79	67
87	12	88	25	81	26
04	76	35	51	72	29
37	64	27	46	92	**
-1	-1	-1	-1	-1	-1
**	29	89	07	19	13
33	26	85	27	14	33
02	99	13	51	14	43
06	87	08	45	28	87
14	09	89	02	41	47
53	99	81	10	15	99
34	45	32	23	17	74
36	42	80	69	95	91
78	05	01	88	95	03
68	72	18	77	99	16
13	31	97	39	08	49
84	77	**	93	97	21
03	90	70	16	04	02
**	85	98	29	23	00
34	88	05	73	01	61
33	08	04	60	29	19
88	44	29	28	71	63
93	12	17	45	34	30
50	41	29	70	**	65
15	42	98	52	**	**
91	62	09	08	83	66
40	26	21	**	84	85
33	09	79	06	81	70
24	21	05	46	02	26
70	40	28	62	51	11
31	50	39	67	11	76
70	04	48	55	43	47
61	98	28	43	45	00
34	19	71	71	23	79
61	32	89	71	12	20
94	22	20	64	40	42
25	64	08	83	72	21
60	05	00	38	26	52
16	18	09	61	69	44
54	21	72	48	97	55
66	60	25	14	48	29
11	40	54	22	81	11
78	97	80	93	97	**
01	58	31	13	73	97
88	50	81	43	22	13
29	96	27	75	17	93
59	07	16	41	05	**
30	72	26	12	58	95
81	21	21	62	85	82
40	49	60	80	56	17
81	59	05	74	56	63
59	42	45	64	86	04
60	56	38	05	51	50
83	76	44	11	94	85
09	08	46	10	42	82
51	32	04	33	66	80
13	71	19	36	52	52
47	22	77	69	90	43
92	66	16	00	70	**
-1	-1	-1	-1	-1	-1
27	89	33	29	70	30
13	16	82	53	75	10
57	95	73	92	15	77
68	95	55	13	94	11
73	77	89	90	38	90
28	54	16	02	73	72
24	38	06	22	07	69
99	74	72	42	97	80
67	80	94	00	82	46
29	20	06	34	25	**
22	**	30	93	35	76
44	21	04	95	21	46
71	21	44	50	22	02
75	31	08	77	62	80
33	55	10	95	57	41
97	19	15	24	96	85
69	10	55	81	49	93
04	48	46	20	67	69
05	11	12	**	83	65
18	46	68	20	18	28
54	19	32	93	87	53
04	28	91	00	90	68
04	66	80	43	14	15
64	67	77	05	55	88
18	01	94	81	69	98
12	61	01	03	29	13
51	70	10	37	78	28
72	88	33	21	19	13
95	16	07	47	08	16
64	61	82	29	22	75
12	46	75	86	40	88
54	39	77	80	21	19
44	74	79	07	95	12
08	87	20	**	82	47
90	42	60	41	37	95
91	13	73	72	16	60
81	22	99	42	71	08
11	15	96	89	28	61
41	32	97	10	00	70
**	62	44	17	43	94
66	27	17	51	50	32
33	85	52	37	06	55
38	21	60	53	25	79
33	67	71	39	71	87
55	24	09	34	67	53
94	71	83	82	66	29
03	08	01	81	42	05
41	20	27	88	09	21
43	01	11	86	19	08
97	96	48	**	**	**
**	**	57	18	09	48
94	91	73	41	81	05
88	62	77	24	70	46
97	67	13	91	54	18
52	97	29	45	42	02
88	40	51	77	95	12
50	62	89	42	93	68
84	18	92	55	77	35
50	15	03	23	82	03
49	25	07	64	07	35
54	50	32	49	85	71
65	22	62	18	20	04
26	51	13	**	52	63
45	51	09	95	71	09
07	23	18	17	43	92
84	11	07	95	38	92
75	69	91	67	31	88
02	36	89	42	01	49
34	98	31	96	12	10
**	03	03	51	88	77
67	20	79	69	67	84
40	84	11	92	80	01
67	05	97	77	02	90
89	78	99	58	51	73
51	92	15	85	53	19
92	51	70	48	53	98
77	11	32	18	24	94
90	93	36	65	68	48
00	58	63	07	12	62
44	06	47	15	59	93
05	43	25	32	20	51
89	50	51	91	14	08
68	14	37	77	94	42
21	87	55	46	38	99
**	80	10	06	49	41
10	96	26	82	64	65
08	09	40	17	24	00
81	94	41	02	30	43
62	45	81	06	61	19
40	22	34	80	83	51
89	38	75	46	83	80
61	**	34	23	30	90
16	90	98	38	23	41
26	30	19	19	80	45
13	76	59	75	53	24
90	12	40	36	72	97
57	05	04	52	10	60
99	49	24	62	39	51
11	27	39	11	34	20
45	75	97	48	84	**
-1	-1	-1	-1	-1	-1
73	02	91	18	08	60
42	33	55	95	17	19
37	25	78	10	93	42
60	97	67	08	45	42
17	29	68	55	26	70
87	37	42	91	56	84
19	53	38	78	56	81
15	77	58	44	79	80
40	07	71	72	24	92
12	76	83	61	13	02
78	11	52	00	48	62
71	21	19	56	04	10
98	65	03	01	48	45
76	74	80	27	**	31
84	43	04	30	39	71
38	93	02	09	61	05
55	88	97	34	21	68
24	41	02	89	93	33
94	22	00	35	**	49
66	76	10	02	28	15
13	31	90	88	81	68
02	65	44	61	94	01
82	16	60	85	62	03
08	82	32	31	74	75
07	56	83	97	94	01
82	00	64	41	96	68
05	85	90	03	39	88
44	19	26	84	79	84
86	49	28	60	52	24
15	80	09	92	55	04
50	72	10	99	35	92
06	48	31	33	92	34
19	69	17	56	55	68
96	28	45	95	34	**
51	57	88	01	86	49
87	50	11	40	05	43
27	51	41	74	37	50
34	46	45	25	09	18
03	82	04	97	65	99
78	27	89	20	29	71
53	84	23	79	65	23
75	65	91	71	94	31
94	68	**	20	40	82
66	73	39	63	28	25
93	69	81	27	11	93
15	07	27	83	30	38
86	11	09	10	92	77
57	52	18	53	20	24
75	58	61	94	12	44
56	31	57	83	08	17
44	06	50	03	60	42
20	92	61	73	16	55
68	14	03	77	56	00
53	27	66	21	70	**
-1	-1	-1	-1	-1	-1
06	71	68	42	98	12
38	06	52	62	84	83
72	49	70	95	07	04
16	91	71	92	41	44
68	88	02	46	83	24
10	06	50	99	08	96
44	69	03	10	31	16
70	98	71	60	82	46
27	73	10	13	69	70
25	39	20	87	22	02
47	93	83	06	08	**
17	82	11	37	36	23
20	75	49	27	93	76
61	54	34	11	16	48
79	83	94	32	23	89
91	82	51	05	20	99
16	40	04	29	79	10
38	94	55	30	80	58
43	14	29	**	10	02
30	98	15	84	69	93
04	40	57	80	78	51
75	16	84	24	47	97
96	68	72	04	23	15
00	60	21	05	45	27
04	74	11	52	65	66
84	08	83	69	76	71
20	41	97	42	18	80
97	73	07	42	31	85
54	17	99	40	84	43
52	54	11	91	73	14
22	68	11	60	28	32
77	63	52	75	71	20
09	54	60	36	55	60
81	40	56	79	57	91
82	98	54	05	10	34
77	23	17	65	85	83
71	99	13	40	87	30
01	21	52	14	73	30
88	50	05	41	90	59
63	31	70	**	34	15
50	69	61	38	50	86
29	62	42	73	38	21
05	71	37	71	90	01
29	84	70	43	67	94
77	96	39	31	18	30
96	14	43	65	30	07
52	15	13	37	45	97
79	30	12	75	26	64
00	41	99	65	04	41
38	99	46	47	**	**
-1	-1	-1	-1	-1	-1
23	96	01	95	23	78
27	55	70	38	03	12
65	45	72	11	58	76
83	12	28	07	89	02
16	64	62	88	02	45
84	89	91	93	16	91
84	16	88	55	03	01
50	61	49	29	00	05
24	77	69	46	77	31
05	44	49	09	46	**
98	08	69	13	76	19
88	20	68	13	33	96
64	15	51	93	72	28
69	95	50	11	58	22
91	07	73	05	24	18
01	20	68	41	17	44
31	17	87	30	53	09
91	02	02	90	67	01
73	**	26	48	50	48
33	95	58	19	97	82
63	25	90	84	83	42
05	52	30	97	28	43
67	03	85	67	83	18
70	09	22	49	67	33
59	26	10	08	70	41
40	95	97	79	28	69
12	06	55	91	44	52
21	16	83	77	42	80
44	64	13	03	61	12
00	34	27	02	39	64
40	62	17	02	35	17
26	69	00	64	14	02
87	53	80	04	46	13
59	98	77	82	33	92
08	36	12	56	40	92
51	09	32	06	84	56
16	93	84	17	09	54
58	70	16	57	01	68
72	29	00	85	50	67
74	05	18	54	59	25
66	02	14	00	79	**
96	12	95	81	46	51
64	78	59	23	27	99
63	89	27	67	90	70
45	49	35	12	84	49
24	80	58	53	26	08
33	05	84	90	53	85
99	48	08	15	68	10
53	09	86	85	05	93
48	19	81	26	03	27
88	51	77	52	21	18
71	09	22	57	46	37
40	13	33	51	19	01
-1	-1	-1	-1	-1	-1
95	74	25	97	68	79
21	86	04	66	15	36
97	50	81	47	01	62
94	40	85	57	34	39
25	77	20	32	79	14
21	55	63	61	37	35
71	42	44	86	82	06
75	07	76	99	85	70
68	43	16	52	51	99
94	43	79	52	11	95
80	**	05	16	77	20
69	76	78	05	59	09
80	72	22	17	56	38
55	20	24	61	00	14
21	27	94	69	06	07
10	88	42	78	24	49
83	25	06	51	66	94
09	61	43	40	82	46
59	67	60	78	17	73
**	26	08	86	17	75
19	95	40	07	62	81
70	23	40	70	23	89
79	87	10	28	22	36
80	09	46	13	14	09
77	90	94	46	95	89
41	50	47	99	72	96
21	66	95	49	06	05
60	83	90	97	41	92
67	01	75	11	07	90
95	51	65	54	46	42
20	99	65	12	75	54
19	90	41	15	76	14
98	44	26	78	24	12
09	33	47	55	79	40
82	58	68	20	57	49
35	14	27	07	98	56
28	44	31	82	80	22
92	71	15	27	61	72
23	67	15	88	03	62
22	38	23	70	34	55
77	01	65	94	12	79
25	03	95	34	25	12
47	25	47	29	96	73
18	90	43	84	55	14
31	54	70	31	98	94
80	09	40	32	24	02
85	86	23	09	35	07
88	13	28	82	77	39
43	22	57	77	51	65
00	89	67	04	02	58
-1	-1	-1	-1	-1	-1
**	27	74	49	38	42
87	14	25	30	64	22
45	79	90	45	43	86
12	57	83	44	38	77
61	54	50	82	91	16
61	74	74	93	67	44
70	03	62	21	64	60
55	79	53	65	29	77
89	12	27	61	41	33
49	14	65	27	93	16
57	94	42	04	16	59
10	12	**	27	76	21
90	77	58	61	02	86
47	44	08	28	81	11
75	27	40	22	64	74
73	84	37	92	31	40
78	42	39	84	68	64
79	93	42	68	21	58
31	32	09	28	**	28
71	12	06	10	46	89
04	87	52	28	32	46
04	12	29	92	67	60
85	82	75	31	17	39
44	28	26	54	43	99
48	09	20	87	86	51
87	56	13	27	49	62
54	47	**	85	14	05
59	70	27	05	81	40
19	78	91	73	11	35
88	16	60	11	52	70
24	34	21	06	43	62
98	71	55	71	42	23
08	42	60	69	07	99
24	41	50	61	04	09
82	77	83	30	11	66
50	24	65	15	62	65
28	07	77	44	26	42
05	50	82	94	77	24
05	13	16	78	83	32
75	13	18	08	55	51
**	93	53	77	36	57
